Date,Customer ID,Name,Job ID,Job Description,Account ID,Account Description,Invoice/CM No,Line Description,Purchase Order No,Amount,,,
3/31/19,Samsung,"Samsung Engineering Co.,Ltd.",87700438,,23100-0000,Billings in Excess of Cost,03-07G FS Sales,Advance down payment for LAT & SKF Field service,," 200,000.00 ",,,
3/18/19,CalEnergy,Calenergy Operating Corporation,,,24100-0000,Sales Taxes Payable - CA,IN4398,IMPERIAL: Imperial County,267499,-990.84,,,
3/21/19,CalEnergy,Calenergy Operating Corporation,,,24100-0000,Sales Taxes Payable - CA,IN4404,IMPERIAL: Imperial County,267625,"-1,874.42",,,
3/19/19,Linde Processing,Linde Engineering North America Inc.,LAT608EC,608,41100-1000,Sales - Invoiced - NE,IN4388,"5% upon receipt of final documentation of total $763,000",004 2KA3070,"-38,150.00",,,
3/22/19,OPD,Optimized Process Designs,LAT607EC,607,41100-1000,Sales - Invoiced - NE,IN4400,"20% Upon notificiation of readiness to ship of PO amount $909,000.00",C1019348-CA17061-030,"-181,800.00",,,
3/22/19,OPD,Optimized Process Designs,LAT607EC,607,41100-1000,Sales - Invoiced - NE,IN4400,"100% Upon notification of readiness to ship of CO-1 amount $11,900.00",C1019348-CA17061-030,"-11,900.00",,,
3/22/19,OPD,Optimized Process Designs,LAT607EC,607,41100-1000,Sales - Invoiced - NE,IN4400,"100% Upon notification of readiness to ship of CO-2 amount $42,776.00",C1019348-CA17061-030,"-42,776.00",,,
3/29/19,UOP,UOP RUSSELL LLC,LAT612EC,612,41100-1000,Sales - Invoiced - NE,IN4387,"35% of total PO value USD $858,125.00",4500865086,"-300,343.75",,,
3/29/19,UOP,UOP RUSSELL LLC,LAT586EC,586R,41100-1000,Sales - Invoiced - NE,IN4401,50% Invoiced at ready to ship J473XX,4500876918,"-48,750.00",,,
3/5/19,Exelon,Exelon Corporation,47701078,4-1078,41100-3000,Sales - Invoiced - RP,IN4390,Contract No 01256549 pertaining to JOB967 - Perform rebuild/overhaul of turboexpander mechanical center,01256549,"-57,000.00",,,
3/12/19,Plains Gas,Plains Gas Solutions,47701069,4-1069,41100-3000,Sales - Invoiced - RP,IN4393,25% - Upon receipt of PO,WO 37335,"-22,968.75",,,
3/12/19,Plains Gas,Plains Gas Solutions,47701069,4-1069,41100-3000,Sales - Invoiced - RP,IN4394,15% - Work schedule issued,WO 37335,"-13,781.25",,,
3/18/19,CalEnergy,Calenergy Operating Corporation,47701083,4-1083,41100-3000,Sales - Invoiced - RP,IN4398,50% Upon receipt of PO - Materials,267499,"-12,785.00",,,
3/18/19,CalEnergy,Calenergy Operating Corporation,47701083,4-1083,41100-3000,Sales - Invoiced - RP,IN4398,50% Upon receipt of PO - Labor,267499,"-25,357.50",,,
3/21/19,CalEnergy,Calenergy Operating Corporation,47701084,4-1084,41100-3000,Sales - Invoiced - RP,IN4404,Materials,267625,"-24,186.00",,,
3/21/19,CalEnergy,Calenergy Operating Corporation,47701084,4-1084,41100-3000,Sales - Invoiced - RP,IN4404,Labor,267625,"-1,855.50",,,
3/26/19,Southern Company,Southern Company Gas,47701089,RP,41100-3000,Sales - Invoiced - RP,IN4406,50% Upon PO Acceptance - Repair Turboexpander,98181,"-16,375.00",,,
3/26/19,Flint Hills,"Flint Hills Resources Houston Chem.,LLC",47701024,4-1024,41100-3000,Sales - Invoiced - RP,IN4409,Line item 6 - 70% Upon proof of BOL FCA Valencia - repair bearing cartridge set - quote 67703322 - HCP20108 line 1,HCP20108,"-134,064.00",,,
3/26/19,Flint Hills,"Flint Hills Resources Houston Chem.,LLC",47701024,4-1024,41100-3000,Sales - Invoiced - RP,IN4409,Line item 7 - 100% Upon readiness to ship - Repair of Turboexpander as described in Section 1 of quote 67703265,HCP20108,"-29,550.00",,,
3/27/19,Matheson Tri-Gas TX,Matheson Tri-Gas,47701035,4-1035,41100-3000,Sales - Invoiced - RP,IN4410,Item 1 - Rebuild warm end turbine with new expander wheel,830-018-064,"-39,825.00",,,
3/27/19,Matheson Tri-Gas TX,Matheson Tri-Gas,47701035,4-1035,41100-3000,Sales - Invoiced - RP,IN4410,Item 2 - Repair expander wheel,830-018-064,-725.00,,,
3/20/19,Targa Midstream,Targa Midstream Service LLC-STRDDLE,87700513,FS,41100-4000,Sales - Invoiced - FS,IN4402,Line item 1 - Start up assistance and troubleshooting at Lowry Plant.,TAR82365,"-15,818.16",,,
3/22/19,LAT Europe Belgium,LAT Europe,87700511,FS,41100-4000,Sales - Invoiced - FS,IN4414,Mobilization of Emmanuel Ledru for onsite MCS rebuild on ACR044 TOTAL Congo.,FNRLATE1974,"-44,979.83",,,
3/26/19,Targa Pipeline,Targa Pipeline Mid-Continent WestTexLLC,87700503,FS,41100-4000,Sales - Invoiced - FS,IN4407,Commissioning and Start-up Assistance for Expander(03/20/19-03/22/19),TAR68453,"-9,320.07",,,
3/29/19,LAT Europe Belgium,LAT Europe,87700515,FS,41100-4000,Sales - Invoiced - FS,IN4411,Field service to Qapco EP1 - ACR068 - Qatar from 3/15 thru 3/19/2019.,FNRLATE1982,"-12,690.00",,,
3/5/19,Midcoast Energy,Midcoast Energy LLC,37701048,SP,41100-5000,Sales - Invoiced - SP,IN4391,"100% Notification upon Readiness to Ship - MEP, LOB 91212 CC 91444. Atn:  Mark Roberts/Carrie Harmon Our Job No. 37701048",MEP LOB91212 CC91444,"-4,800.00",,,
3/6/19,Targa Pipeline,Targa Pipeline Mid-Continent WestTexLLC,37701077,3-1077,41100-5000,Sales - Invoiced - SP,IN4392,50% Upon receipt of PO,TAR78102,"-34,772.50",,,
3/8/19,LAT Europe Belgium,LAT Europe,37701003,3-1003,41100-5000,Sales - Invoiced - SP,IN4381,"Line item 1 - RD170D107 - Expander wheel 7050 18"" OD Closed. Statoil Norway ACR030",FNRLATE1783,"-60,000.00",,,
3/14/19,Targa Pipeline,Targa Pipeline Mid-Continent WestTexLLC,37701079,3-1079,41100-5000,Sales - Invoiced - SP,IN4395,50% Upon receipt of purchase order.,TAR79777,"-127,462.50",,,
3/15/19,Cureton,Cureton Midstream,37701040,SP,41100-5000,Sales - Invoiced - SP,IN4397,50% Upon notification of readiness to ship. Line item 1 - LAT Job 37701040,CM-PO-0199,"-13,817.00",,,
3/15/19,Targa Delaware C/O,Targa Delaware LLC,37701081,3-1081,41100-5000,Sales - Invoiced - SP,IN4396,50% Upon receipt of purchase order.,TAR80313,"-127,462.50",,,
3/19/19,LAT Europe Belgium,LAT Europe,37701055,SP,41100-5000,Sales - Invoiced - SP,IN4399,Line item 2 - 1389C70 - Front bearing.,FNRLATE1896,"-7,455.00",,,
3/19/19,LAT Europe Belgium,LAT Europe,37701055,SP,41100-5000,Sales - Invoiced - SP,IN4399,Line item 3 - 1389C71 - Back bearing,FNRLATE1896,"-7,455.00",,,
3/20/19,Flint Hills,"Flint Hills Resources Houston Chem.,LLC",37701043,SP,41100-5000,Sales - Invoiced - SP,IN4403,Line item 1 - 503120 - 609J/JT-HP/LP Sensor PCB,HCP21747,"-4,424.00",,,
3/22/19,Superior,"Superior Pipeline Texas, LLC",37701059,SP,41100-5000,Sales - Invoiced - SP,IN4405,Line item 1 - Seal gas regulator - differential pressure,20183851441207000012,"-5,880.00",,,
3/22/19,Superior,"Superior Pipeline Texas, LLC",37701059,SP,41100-5000,Sales - Invoiced - SP,IN4405,Line item 2 - Seal gas regulator -differential pressure  3B0001K-01A,20183851441207000012,-210.00,,,
3/26/19,Enterprise,"Enterprise Field Service, LLC",37701087,SP,41100-5000,Sales - Invoiced - SP,IN4408,"Line 1 - Filter, Duplex Oilt Filter",248567,"-4,305.00",,,
3/26/19,Enterprise,"Enterprise Field Service, LLC",37701087,SP,41100-5000,Sales - Invoiced - SP,IN4408,"Line 2 - Element, Duplex Oil Filter Element",248567,"-2,100.00",,,
3/29/19,Alpine,Alpine High Processing LLC. c/o Apache,37701058,SP,41100-5000,Sales - Invoiced - SP,IN4412,50% Upon readiness to ship,101816,"-7,506.00",,,
3/26/19,Flint Hills,"Flint Hills Resources Houston Chem.,LLC",47701024,FR,49100-3000,Freight Receipts - RP,IN4409,Shipping Cost,HCP20108,"-1,320.00",,,
3/26/19,Flint Hills,"Flint Hills Resources Houston Chem.,LLC",47701024,FR,49100-3000,Freight Receipts - RP,IN4409,Insurance Cost,HCP20108,"-2,120.00",,,
3/27/19,Matheson Tri-Gas TX,Matheson Tri-Gas,47701035,FR,49100-3000,Freight Receipts - RP,IN4410,Shipping/Vacuum Seal Packing cost,830-018-064,"-1,181.78",,,
3/5/19,Midcoast Energy,Midcoast Energy LLC,37701048,FR,49100-5000,Freight Receipts - SP,IN4391,Freight Charge,MEP LOB91212 CC91444,-69.48,,,
3/15/19,Cureton,Cureton Midstream,37701040,FR,49100-5000,Freight Receipts - SP,IN4397,Freight charge,CM-PO-0199,-30.98,,,
3/20/19,Flint Hills,"Flint Hills Resources Houston Chem.,LLC",37701043,FR,49100-5000,Freight Receipts - SP,IN4403,Freight charge,HCP21747,-14.32,,,
3/22/19,Superior,"Superior Pipeline Texas, LLC",37701059,FR,49100-5000,Freight Receipts - SP,IN4405,Freight charges,20183851441207000012,-29.10,,,
3/29/19,Alpine,Alpine High Processing LLC. c/o Apache,37701058,FR,49100-5000,Freight Receipts - SP,IN4412,Freight Cost,101816,-25.66,,,
3/1/19,Samsung,"Samsung Engineering Co.,Ltd.",87700438,FS,41100-4000,Sales - Invoiced - FS,02-07G SKF/FS Sales,Est Sales for Badra Trip #8 (01/14/19-02/21/19),," 326,938.99 ",,,
3/31/19,Samsung,"Samsung Engineering Co.,Ltd.",87700438,FS,41100-4000,Sales - Invoiced - FS,03-07G FS Sales,Est Sales for Badra Trip #8 (01/14/19-02/21/19),," (326,636.04)",,,
